"rzone10","ezone10","county10","isMPA","isPDX","is4co","isMult","isClack","isWash","isClarkco"
234,34,2,1,0,1,0,1,0,0
235,42,2,0,0,1,0,1,0,0
236,42,2,0,0,1,0,1,0,0
237,42,2,0,0,1,0,1,0,0
238,35,2,0,0,1,0,1,0,0
239,36,2,0,0,1,0,1,0,0
240,36,2,0,0,1,0,1,0,0
241,36,2,0,0,1,0,1,0,0
242,36,2,0,0,1,0,1,0,0
243,36,2,0,0,1,0,1,0,0
244,36,2,0,0,1,0,1,0,0
245,36,2,0,0,1,0,1,0,0
246,35,2,0,0,1,0,1,0,0
247,35,2,0,0,1,0,1,0,0
248,35,2,0,0,1,0,1,0,0
249,35,2,0,0,1,0,1,0,0
250,38,2,1,0,1,0,1,0,0
251,35,2,0,0,1,0,1,0,0
252,47,3,1,0,1,0,0,1,1
253,47,3,1,0,1,0,0,1,1
254,47,3,1,0,1,0,0,1,1
255,46,3,1,0,1,0,0,1,1
256,46,3,1,0,1,0,0,1,1
257,46,3,1,0,1,0,0,1,1
258,46,3,1,0,1,0,0,1,1
259,46,3,1,0,1,0,0,1,1
260,45,3,1,0,1,0,0,1,1
261,45,3,1,0,1,0,0,1,1
262,44,3,1,0,1,0,0,1,1
263,44,3,1,0,1,0,0,1,1
264,44,3,1,0,1,0,0,1,1
265,44,3,1,0,1,0,0,1,1
266,45,3,1,0,1,0,0,1,1
267,48,3,1,0,1,0,0,1,1
268,48,3,1,0,1,0,0,1,1
269,48,3,1,0,1,0,0,1,1
270,48,3,1,0,1,0,0,1,1
271,48,3,1,0,1,0,0,1,1
272,48,3,1,0,1,0,0,1,1
273,46,3,1,0,1,0,0,1,1
274,47,3,1,0,1,0,0,1,1
275,47,3,1,0,1,0,0,1,1
276,47,3,1,0,1,0,0,1,1
277,50,3,1,0,1,0,0,1,1
278,50,3,1,0,1,0,0,1,1
279,49,3,1,0,1,0,0,1,1
280,49,3,1,0,1,0,0,1,1
281,49,3,1,0,1,0,0,1,1
282,50,3,1,0,1,0,0,1,1
283,50,3,1,0,1,0,0,1,1
284,49,3,1,0,1,0,0,1,1
285,49,3,1,0,1,0,0,1,1
286,51,3,1,0,1,0,0,1,1
287,50,3,1,0,1,0,0,1,1
288,50,3,1,0,1,0,0,1,1
289,50,3,1,0,1,0,0,1,1
290,51,3,1,0,1,0,0,1,1
291,51,3,1,0,1,0,0,1,1
292,51,3,1,0,1,0,0,1,1
293,51,3,1,0,1,0,0,1,1
294,50,3,1,0,1,0,0,1,1
295,50,3,1,0,1,0,0,1,1
296,51,3,1,0,1,0,0,1,1
297,51,3,1,0,1,0,0,1,1
298,51,3,1,0,1,0,0,1,1
299,51,3,1,0,1,0,0,1,1
300,52,3,1,0,1,0,0,1,1
301,52,3,1,0,1,0,0,1,1
302,52,3,1,0,1,0,0,1,1
303,52,3,1,0,1,0,0,1,1
304,52,3,1,0,1,0,0,1,1
305,52,3,1,0,1,0,0,1,1
306,52,3,1,0,1,0,0,1,1
307,52,3,1,0,1,0,0,1,1
308,44,3,1,0,1,0,0,1,1
309,44,3,1,0,1,0,0,1,1
310,44,3,1,0,1,0,0,1,1
311,44,3,1,0,1,0,0,1,1
312,44,3,1,0,1,0,0,1,1
313,44,3,1,0,1,0,0,1,1
314,44,3,1,0,1,0,0,1,1
315,43,3,1,0,1,0,0,1,1
316,43,3,1,0,1,0,0,1,1
317,43,3,1,0,1,0,0,1,1
318,43,3,1,0,1,0,0,1,1
319,43,3,1,0,1,0,0,1,1
